"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"10:35:19.4567616 am","python.exe","16236","TCP Send","DESKTOP-QOFBQ6U:5001 -> DESKTOP-QOFBQ6U:60751","SUCCESS","Length: 173, startime: 17744134, endtime: 17744134, seqnum: 0, connid: 0"
"10:35:19.4568233 am","python.exe","16236","TCP Send","DESKTOP-QOFBQ6U:5001 -> DESKTOP-QOFBQ6U:60751","SUCCESS","Length: 12, startime: 17744134, endtime: 17744134, seqnum: 0, connid: 0"
"10:35:19.4570664 am","python.exe","16236","Thread Exit","","SUCCESS","Thread ID: 7612, User Time: 0.0000000, Kernel Time: 0.0156250"
"10:35:19.4650969 am","python.exe","16236","TCP Disconnect","DESKTOP-QOFBQ6U:5001 -> DESKTOP-QOFBQ6U:60751","SUCCESS","Length: 0, seqnum: 0, connid: 0"
"10:35:27.4152852 am","python.exe","16236","Thread Create","","SUCCESS","Thread ID: 16220"
"10:35:27.4156767 am","python.exe","16236","Thread Exit","","SUCCESS","Thread ID: 16220, User Time: 0.0000000, Kernel Time: 0.0000000"
"10:35:27.4839270 am","python.exe","16236","CreateFile","C:\Users\User\AppData\Local\Programs\Python\Python310\powershell.exe","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"10:35:27.4842307 am","python.exe","16236","CreateFile","C:\Users\User\Documents\GitHub\Network-Detector\django\mysite\powershell.exe","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"10:35:27.4844893 am","python.exe","16236","CreateFile","C:\Windows\System32\powershell.exe","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"10:35:27.4847134 am","python.exe","16236","CreateFile","C:\Windows\System\powershell.exe","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"10:35:27.4849444 am","python.exe","16236","CreateFile","C:\Windows\powershell.exe","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"10:35:27.4851692 am","python.exe","16236","CreateFile","C:\Windows\System32\powershell.exe","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"10:35:27.4853864 am","python.exe","16236","CreateFile","C:\Windows\powershell.exe","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"10:35:27.4857059 am","python.exe","16236","CreateFile","C:\Windows\System32\wbem\powershell.exe","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"10:35:27.4859535 am","python.exe","16236","CreateFile","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:35:27.4860034 am","python.exe","16236","QueryBasicInformationFile","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","SUCCESS","CreationTime: 14/10/2020 10:53:37 am, LastAccessTime: 5/8/2022 10:35:12 am, LastWriteTime: 14/10/2020 10:53:37 am, ChangeTime: 23/6/2022 9:43:21 pm, FileAttributes: A"
"10:35:27.4860354 am","python.exe","16236","QueryBasicInformationFile","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","SUCCESS","CreationTime: 14/10/2020 10:53:37 am, LastAccessTime: 5/8/2022 10:35:12 am, LastWriteTime: 14/10/2020 10:53:37 am, ChangeTime: 23/6/2022 9:43:21 pm, FileAttributes: A"
"10:35:27.4860619 am","python.exe","16236","CloseFile","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","SUCCESS",""
"10:35:27.4863019 am","python.exe","16236","CreateFile","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:35:27.4863323 am","python.exe","16236","QueryBasicInformationFile","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","SUCCESS","CreationTime: 14/10/2020 10:53:37 am, LastAccessTime: 5/8/2022 10:35:12 am, LastWriteTime: 14/10/2020 10:53:37 am, ChangeTime: 23/6/2022 9:43:21 pm, FileAttributes: A"
"10:35:27.4863533 am","python.exe","16236","QueryBasicInformationFile","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","SUCCESS","CreationTime: 14/10/2020 10:53:37 am, LastAccessTime: 5/8/2022 10:35:12 am, LastWriteTime: 14/10/2020 10:53:37 am, ChangeTime: 23/6/2022 9:43:21 pm, FileAttributes: A"
"10:35:27.4863742 am","python.exe","16236","CloseFile","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","SUCCESS",""
"10:35:27.4864456 am","python.exe","16236","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\powershell.exe","NAME NOT FOUND","Desired Access: Query Value, Enumerate Sub Keys"
"10:35:27.4864784 am","python.exe","16236","RegOpenKey","HKLM\Software\Microsoft\Wow64\x86\xtajit","NAME NOT FOUND","Desired Access: Query Value"
